weight;word;color;url
14261;harry;;
10638;tenia;;
9972;ojos;;
9853;drizzt;;
7840;cabeza;;
7640;podia;;
7566;voz;;
7550;tiempo;;
7288;habian;;
6949;mano;;
6298;momento;;
6027;puerta;;
6024;pregunto;;
5676;parecia;;
5274;hombre;;
5232;ron;;
5164;casa;;
5093;miro;;
5055;volvio;;
4910;sabia;;
4551;paso;;
4502;hermione;;
4434;wulfgar;;
4434;lugar;;
4330;drow;;
4297;noche;;
4072;suelo;;
4042;mirada;;
4038;vida;;
3996;bruenor;;
3985;manos;;
3870;cosas;;
3816;vio;;
3796;iba;;
3778;hubiera;;
3749;grito;;
3683;rostro;;
3558;cara;;
3541;cattibrie;;
3501;camino;;
3442;señor;;
3398;luz;;
3373;visto;;
3281;mundo;;
3185;entreri;;
3172;forma;;
3155;has;;
3081;queria;;
3063;palabras;;
2951;alguien;;
