word,frec,book_tittle,nrc,bing,AFINN
abeja,1,Papelucho,"['ira', 'miedo']",,
abierto,1,Papelucho,['miedo'],,
agarrar,1,Papelucho,"['ira', 'negativo']",,
agradecido,1,Papelucho,"['alegría', 'positivo']",positivo,2
aguante,1,Papelucho,"['confianza', 'positivo']",,2
alboroto,1,Papelucho,"['ira', 'miedo', 'negativo']",negativo,
amenaza,1,Papelucho,"['ira', 'miedo', 'negativo']",negativo,-2
amistad,1,Papelucho,"['alegría', 'confianza', 'positivo']",,
aniversario,1,Papelucho,"['alegría', 'asombro', 'positivo']",,
anticipado,1,Papelucho,['premonición'],,
aprovechar,1,Papelucho,"['miedo', 'negativo']",,
arena,1,Papelucho,"['confianza', 'positivo']",,
artista,1,Papelucho,['positivo'],,
ataques,1,Papelucho,"['ira', 'negativo']",,
atroz,1,Papelucho,"['disgusto', 'ira', 'negativo']",negativo,
aturdida,1,Papelucho,['negativo'],negativo,
autor,1,Papelucho,"['disgusto', 'ira', 'miedo', 'negativo', 'positivo', 'tristeza']",,-2
avaricia,1,Papelucho,"['disgusto', 'ira', 'negativo']",negativo,
aventurero,1,Papelucho,['positivo'],positivo,2
azufre,1,Papelucho,"['ira', 'miedo', 'negativo']",negativo,
barra,1,Papelucho,"['confianza', 'miedo', 'positivo']",,
beneficio,1,Papelucho,['positivo'],positivo,2
blanco,1,Papelucho,"['alegría', 'confianza', 'positivo', 'premonición']",,
brigada,1,Papelucho,"['miedo', 'negativo']",,
broma,1,Papelucho,"['asombro', 'negativo']",negativo,2
bruja,1,Papelucho,"['disgusto', 'ira', 'miedo', 'negativo']",,
brutal,1,Papelucho,"['ira', 'miedo', 'negativo']",negativo,
burlarse,1,Papelucho,"['disgusto', 'ira', 'negativo']",negativo,
calambre,1,Papelucho,"['negativo', 'premonición']",negativo,-1
caliente,1,Papelucho,['ira'],positivo,
calma,1,Papelucho,"['positivo', 'premonición']",negativo,2
cambio,1,Papelucho,['miedo'],,
canalla,1,Papelucho,"['confianza', 'disgusto', 'ira', 'miedo', 'negativo']",negativo,
cantar,1,Papelucho,"['alegría', 'confianza', 'positivo', 'premonición', 'tristeza']",,
capaz,1,Papelucho,[],positivo,1
cartucho,1,Papelucho,['miedo'],,
casarse,1,Papelucho,"['alegría', 'asombro', 'confianza', 'miedo', 'positivo', 'premonición']",,
caza,1,Papelucho,"['ira', 'miedo', 'negativo', 'premonición']",,
cazuela,1,Papelucho,[],negativo,
chorro,1,Papelucho,"['alegría', 'disgusto', 'negativo']",positivo,
ciego,1,Papelucho,['negativo'],negativo,-1
cobarde,1,Papelucho,"['disgusto', 'miedo', 'negativo', 'tristeza']",negativo,-2
colosal,1,Papelucho,['positivo'],,
cometer,1,Papelucho,[],,1
comienzo,1,Papelucho,['premonición'],,
completo,1,Papelucho,['positivo'],,
comunista,1,Papelucho,['negativo'],,
concedido,1,Papelucho,['positivo'],,1
conciencia,1,Papelucho,"['confianza', 'positivo']",,
confianza,1,Papelucho,"['alegría', 'confianza', 'miedo', 'positivo']",positivo,1
congreso,1,Papelucho,"['confianza', 'disgusto']",,
construir,1,Papelucho,['positivo'],,
consuelo,1,Papelucho,['positivo'],positivo,
convencido,1,Papelucho,['confianza'],,-1
coro,1,Papelucho,"['alegría', 'confianza', 'positivo']",,
cosecha,1,Papelucho,"['alegría', 'positivo', 'premonición']",,
cosquillas,1,Papelucho,"['alegría', 'asombro', 'confianza', 'positivo', 'premonición']",positivo,
crecer,1,Papelucho,"['alegría', 'confianza', 'positivo', 'premonición']",,
crema,1,Papelucho,"['alegría', 'asombro', 'positivo', 'premonición']",,
creyendo,1,Papelucho,"['confianza', 'positivo']",,
cruel,1,Papelucho,"['disgusto', 'ira', 'miedo', 'negativo', 'tristeza']",negativo,-3
descompuesto,1,Papelucho,['tristeza'],,
desesperado,1,Papelucho,"['miedo', 'negativo', 'tristeza']",negativo,-3
desmayo,1,Papelucho,"['asombro', 'miedo', 'negativo', 'tristeza']",,
deuda,1,Papelucho,"['negativo', 'tristeza']",negativo,-2
diablo,1,Papelucho,"['disgusto', 'ira', 'miedo', 'negativo', 'premonición', 'tristeza']",negativo,
diligencia,1,Papelucho,"['confianza', 'positivo']",positivo,
disgusto,1,Papelucho,[],negativo,-2
doloroso,1,Papelucho,"['disgusto', 'ira', 'miedo', 'negativo', 'tristeza']",negativo,
don,1,Papelucho,"['confianza', 'positivo']",,
duda,1,Papelucho,"['confianza', 'miedo', 'negativo', 'tristeza']",negativo,-1
educar,1,Papelucho,['positivo'],,
elegante,1,Papelucho,"['alegría', 'positivo']",positivo,2
embrujado,1,Papelucho,"['miedo', 'negativo', 'tristeza']",,-2
empresa,1,Papelucho,['premonición'],,
engañado,1,Papelucho,"['ira', 'negativo']",,-3
engaño,1,Papelucho,"['asombro', 'confianza', 'disgusto', 'ira', 'miedo', 'negativo', 'tristeza']",negativo,-2
enojado,1,Papelucho,"['disgusto', 'ira', 'negativo']",negativo,-3
enredo,1,Papelucho,['negativo'],negativo,
enseñar,1,Papelucho,"['alegría', 'asombro', 'confianza', 'positivo']",,
enterrar,1,Papelucho,['tristeza'],,
equivocado,1,Papelucho,"['disgusto', 'miedo', 'negativo']",negativo,-2
escapado,1,Papelucho,['miedo'],,
escriba,1,Papelucho,['positivo'],,
especial,1,Papelucho,"['alegría', 'positivo']",,
estofado,1,Papelucho,[],negativo,
evangelio,1,Papelucho,"['confianza', 'positivo']",,
examen,1,Papelucho,"['asombro', 'miedo', 'negativo']",,
excepcional,1,Papelucho,"['alegría', 'negativo', 'positivo']",positivo,5
facilidad,1,Papelucho,['positivo'],positivo,2
famoso,1,Papelucho,['positivo'],positivo,
fatiga,1,Papelucho,['negativo'],negativo,-2
fila,1,Papelucho,"['ira', 'negativo']",,
firma,1,Papelucho,['confianza'],,
firme,1,Papelucho,"['confianza', 'positivo']",negativo,2
flaco,1,Papelucho,[],negativo,
fuerte,1,Papelucho,[],negativo,
fuerza,1,Papelucho,"['confianza', 'ira', 'miedo', 'negativo', 'positivo']",,2
gallo,1,Papelucho,[],,-5
garganta,1,Papelucho,"['disgusto', 'negativo']",,
gastos,1,Papelucho,['negativo'],,
gloria,1,Papelucho,"['alegría', 'confianza', 'positivo', 'premonición']",positivo,2
grieta,1,Papelucho,['negativo'],negativo,
gritar,1,Papelucho,"['asombro', 'disgusto', 'ira', 'miedo', 'negativo']",negativo,-2
guardar,1,Papelucho,"['alegría', 'confianza', 'positivo']",,2
guardia,1,Papelucho,"['confianza', 'miedo', 'positivo']",,
guarida,1,Papelucho,['negativo'],,
guerra,1,Papelucho,"['ira', 'miedo', 'negativo', 'tristeza']",,-2
habilidad,1,Papelucho,[],positivo,
hambriento,1,Papelucho,"['negativo', 'premonición']",,-2
hechos,1,Papelucho,"['confianza', 'positivo']",,
herida,1,Papelucho,"['ira', 'miedo', 'negativo', 'tristeza']",negativo,-2
honor,1,Papelucho,"['confianza', 'positivo']",positivo,2
